ssid,lat,long,type
Fraser-Connect,-31.96123505,115.876297,infra
,-32.03580475,115.88202667,????
,-32.04580307,115.87327576,????
,-32.04212952,115.88545227,????
,-32.01125717,115.88704681,????
,-32.03914261,115.88088989,????
,-32.02946854,115.89189911,????
,-32.02045441,115.83418274,????
,-32.03866196,115.90537262,????
,-32.01341629,115.89398956,????
,-32.05530167,115.87793732,????
,-32.03554153,115.88264465,????
,-32.01995468,115.83374023,????
,-31.94714165,115.8349762,????
,-31.98635483,115.77258301,????
,-32.04397964,115.83595276,????
,-32.05015564,115.87278748,????
,-32.02166367,115.90959167,????
,-32.04375839,115.88560486,????
,-32.02689362,115.84844208,????
,-32.04654312,115.85654449,????
,-31.99821854,115.88669586,????
,-32.02059174,115.91087341,????
,-32.0524025,115.88457489,????
ecu-mesh,-31.91925621,115.86556244,infra
ecu-mesh,-31.91856766,115.86641693,infra
ecu-mesh,-31.91776276,115.86682892,infra
ecu-mesh,-31.91695595,115.86677551,infra
ecu-mesh,-31.91783142,115.87316132,
ecu-mesh,-31.9176712,115.86688995,infra
ecu-mesh,-31.91978455,115.86547852,infra
ecu-mesh,-31.91927528,115.86569977,infra
ecu-mesh,-31.91774559,115.87277222,
ecu-mesh,-31.91963768,115.86562347,infra
ecu-mesh,-31.92199707,115.86746979,infra
ecu-mesh,-31.91968918,115.86557007,infra
ecu-mesh,-31.91784286,115.87319183,
ecu-mesh,-31.92275047,115.86672211,infra
ecu-mesh,-31.91889381,115.86612701,infra
ecu-mesh,-31.91789246,115.87335205,
ecu-mesh,-31.91600418,115.86700439,infra
Never gonna desert you,-31.9676342,115.93462372,infra
My Passport (2.4 GHz) - 165A31,-31.94205093,115.85793304,infra
My Passport (5 GHz) - 165A32,-31.94190788,115.85800171,infra
My Passport (2.4 GHz) - 1A0E1E,-31.93238258,115.86534882,infra
My Passport (2.4 GHz) - 1AA32A,-31.96245766,115.92673492,infra
Never gonna give you up,-31.96765137,115.93469238,infra
Never gonna let you down,-31.96765137,115.93469238,infra
,-31.9486599,115.8458252,infra
,-31.95230865,115.9162674,infra
,-31.95258522,115.91532135,infra
,-31.9486599,115.8458252,infra
,-31.94859123,115.84506226,infra
,-31.94877434,115.84506989,infra
home,-31.95549965,115.86090851,infra
Perth WiFi,-31.95550156,115.86092377,infra
ITSMANAGED,-31.95551872,115.86092377,infra
DTIbMNUcgWW7W5X6kpA,-31.95551872,115.86092377,infra
blackberry-wireless,-31.9554863,115.86093903,infra
Maxi-CGJMLAC02076,-31.94404221,115.85627747,infra
Maxi-CGJMMBC04770,-31.85840225,115.89025116,infra
Maxi-CGJMM6C01010,-31.86056328,115.88954163,infra
Maxi-CGJMKAC01169,-31.93022919,115.94462585,infra
Maxi-CGJMLAC01270,-31.98944092,115.93950653,infra
Maxi-CGJMM3C02149,-31.9960804,115.92403412,infra
ETC-Wifi,-31.93878555,115.84622192,infra
ETC-Wifi,-31.9387722,115.84587097,infra
APSI-WIFI-STAFF,-31.95342255,115.86771393,infra
APSI-WIFI-STAFF,-31.9541111,115.86766815,infra
LGP-Corp,-31.95095444,115.83509064,infra
LGP-Guest,-31.95095444,115.83509064,infra
LGP-Corp,-31.95091248,115.8349762,infra
LGP-Guest,-31.95092964,115.83502197,infra
Guest-WiFi,-31.90986061,115.80599213,infra
Guest-WiFi,-31.90983391,115.80582428,infra
,-31.90983391,115.80582428,infra
,-31.95794296,115.87017822,infra
,-31.95794296,115.87017822,infra
,-31.95794296,115.87017822,infra
,-31.95794296,115.87017822,infra
GCExec,-31.95794296,115.87017822,infra
RoweGroup-WiFi,-31.94350052,115.85410309,infra
Rowe-Guest,-31.94349098,115.85411835,infra
RoweGroup-WiFi,-31.94345284,115.85398865,infra
Rowe-Guest,-31.94352531,115.85444641,infra
RoweGroup-WiFi,-31.94328499,115.85472107,infra
Rowe-Guest,-31.94329262,115.85471344,infra
RoweGroup-WiFi,-31.94347,115.85566711,infra
Rowe-Guest,-31.9434948,115.85559845,infra
RoweGroup-WiFi,-31.9433651,115.8549118,infra
Rowe-Guest,-31.94332314,115.85520172,infra
RoweGroup-WiFi,-31.94322777,115.85469818,infra
Rowe-Guest,-31.94320107,115.85442352,infra
PCTherapy,-31.95123672,115.84289551,infra
Perth Clinic Corp,-31.95149231,115.8431778,infra
PCDOC,-31.95149231,115.8431778,infra
PCTherapy,-31.95147514,115.84322357,infra
Perth Clinic,-31.95147705,115.84322357,infra
PCPublic,-31.95147705,115.84322357,infra
PC-NMHS,-31.95176125,115.84320831,infra
